statementID,Topic,TopicEN,statement,position,party
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,Piratenpartij
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,disagree,Piratenpartij
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",agree,Piratenpartij
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,disagree,Piratenpartij
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,agree,Piratenpartij
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,disagree,Piratenpartij
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",agree,Piratenpartij
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,agree,Piratenpartij
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,agree,Piratenpartij
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,agree,Libertaire Partij
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,neutral,Libertaire Partij
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,disagree,Libertaire Partij
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,neutral,Libertaire Partij
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,agree,Libertaire Partij
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,agree,Libertaire Partij
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,Libertaire Partij
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,agree,Libertaire Partij
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,disagree,Libertaire Partij
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,agree,Libertaire Partij
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,Libertaire Partij
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,Libertaire Partij
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,agree,Libertaire Partij
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,neutral,Libertaire Partij
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,Libertaire Partij
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,Libertaire Partij
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,Libertaire Partij
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,disagree,Libertaire Partij
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,disagree,Libertaire Partij
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,disagree,Libertaire Partij
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,neutral,Libertaire Partij
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,Libertaire Partij
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,disagree,Libertaire Partij
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",agree,Libertaire Partij
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,neutral,Libertaire Partij
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,disagree,Libertaire Partij
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,agree,Libertaire Partij
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",disagree,Libertaire Partij
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,Libertaire Partij
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,agree,Libertaire Partij
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,Splinter
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,Splinter
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,Splinter
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,Splinter
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,agree,Splinter
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,disagree,Splinter
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,agree,Splinter
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,disagree,Splinter
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,agree,Splinter
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,Splinter
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,Splinter
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,Splinter
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,neutral,Splinter
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,agree,Splinter
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,Splinter
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,Splinter
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,Splinter
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,agree,Splinter
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,disagree,Splinter
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,agree,Splinter
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,agree,Splinter
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,Splinter
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,Splinter
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",agree,Splinter
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,disagree,Splinter
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,agree,Splinter
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,disagree,Splinter
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",agree,Splinter
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,Splinter
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,agree,Splinter
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,BoerBurgerBeweging
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,BoerBurgerBeweging
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,BoerBurgerBeweging
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,BoerBurgerBeweging
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,disagree,BoerBurgerBeweging
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,agree,BoerBurgerBeweging
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,BoerBurgerBeweging
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,agree,BoerBurgerBeweging
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,agree,BoerBurgerBeweging
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,BoerBurgerBeweging
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,BoerBurgerBeweging
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,BoerBurgerBeweging
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,agree,BoerBurgerBeweging
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,disagree,BoerBurgerBeweging
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",disagree,BoerBurgerBeweging
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,BoerBurgerBeweging
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,BoerBurgerBeweging
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,disagree,BoerBurgerBeweging
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,agree,BoerBurgerBeweging
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,agree,BoerBurgerBeweging
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,agree,BoerBurgerBeweging
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,BoerBurgerBeweging
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,BoerBurgerBeweging
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",agree,BoerBurgerBeweging
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,agree,BoerBurgerBeweging
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,disagree,BoerBurgerBeweging
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,agree,BoerBurgerBeweging
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",agree,BoerBurgerBeweging
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,BoerBurgerBeweging
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,agree,BoerBurgerBeweging
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,Lijs Henk Krol
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,Lijs Henk Krol
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,disagree,Lijs Henk Krol
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,Lijs Henk Krol
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,neutral,Lijs Henk Krol
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,neutral,Lijs Henk Krol
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,Lijs Henk Krol
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,agree,Lijs Henk Krol
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,agree,Lijs Henk Krol
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,Lijs Henk Krol
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,neutral,Lijs Henk Krol
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,Lijs Henk Krol
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,agree,Lijs Henk Krol
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,disagree,Lijs Henk Krol
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,Lijs Henk Krol
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,Lijs Henk Krol
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,Lijs Henk Krol
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,disagree,Lijs Henk Krol
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,agree,Lijs Henk Krol
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,disagree,Lijs Henk Krol
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,agree,Lijs Henk Krol
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,agree,Lijs Henk Krol
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,Lijs Henk Krol
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",agree,Lijs Henk Krol
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,disagree,Lijs Henk Krol
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,disagree,Lijs Henk Krol
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,disagree,Lijs Henk Krol
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",disagree,Lijs Henk Krol
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,Lijs Henk Krol
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,agree,Lijs Henk Krol
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,Oprecht
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,Oprecht
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,Oprecht
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,Oprecht
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,neutral,Oprecht
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,agree,Oprecht
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,Oprecht
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,agree,Oprecht
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,agree,Oprecht
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,Oprecht
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,neutral,Oprecht
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,Oprecht
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,agree,Oprecht
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,neutral,Oprecht
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,Oprecht
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,Oprecht
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,Oprecht
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,disagree,Oprecht
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,agree,Oprecht
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,agree,Oprecht
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,agree,Oprecht
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,disagree,Oprecht
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,Oprecht
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",neutral,Oprecht
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,agree,Oprecht
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,agree,Oprecht
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,agree,Oprecht
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",neutral,Oprecht
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,Oprecht
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,agree,Oprecht
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,Jezus Leeft
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,disagree,Jezus Leeft
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,disagree,Jezus Leeft
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,agree,Jezus Leeft
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,agree,Jezus Leeft
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,disagree,Jezus Leeft
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,Jezus Leeft
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,agree,Jezus Leeft
9, Zorgfonds ,Healthcare fund,In plaats van de bestaande zorgverzekeraars moet er een landelijk zorgfonds komen voor iedereen.,disagree,Jezus Leeft
10, Gezichtsbedekkende kleding ,Face-covering clothing,De regering moet het verbod op gezichtsbedekkende kleding afschaffen.,disagree,Jezus Leeft
11, Volkshuisvesting ,Public housing,In plaats van provincies en gemeenten moet de landelijke overheid beslissen waar nieuwe woonwijken worden gebouwd.,disagree,Jezus Leeft
12, Btw op kunst en cultuur ,VAT on arts and culture,De regering moet de btw op culturele activiteiten verlagen naar 5 procent.,agree,Jezus Leeft
13, Kerncentrale ,Nuclear power plant,Nederland moet een nieuwe kerncentrale bouwen.,disagree,Jezus Leeft
14, Woningen op landbouwgrond ,Housing on agricultural land,Er moeten woningen worden gebouwd op grond die nu voor landbouw wordt gebruikt.,agree,Jezus Leeft
15, Belastingvoordeel huishoudens ,Household tax benefits,"Huishoudens met twee partners waarvan er één werkt, moeten net zoveel belastingvoordeel krijgen als huishoudens met twee werkende partners.",agree,Jezus Leeft
16, Excuses slavenhandel ,Apology for the slave trade,De Nederlandse regering moet excuses aanbieden voor de slavenhandel in het verleden.,disagree,Jezus Leeft
17, Correctief referendum ,Corrective referendum,Burgers moeten de mogelijkheid krijgen om door het parlement aangenomen wetten tegen te houden via een referendum.,agree,Jezus Leeft
18, Inkomen leraren ,Teacher salaries,Leraren op basisscholen moeten net zoveel gaan verdienen als leraren op middelbare scholen.,disagree,Jezus Leeft
19, Gevangenisstraffen ,Prison sentences,Er moeten minder mogelijkheden komen om taakstraffen op te leggen in plaats van gevangenisstraffen.,disagree,Jezus Leeft
20, Vliegbelasting ,Air travel tax,Nederland moet een extra vliegbelasting invoeren voor korte-afstandsvluchten.,agree,Jezus Leeft
21, Inburgering op locatie ,Location-based integration,Asielzoekers met een voorlopige verblijfsvergunning moeten eerst inburgeren voordat zij een huurwoning krijgen.,neutral,Jezus Leeft
22, Legalisering softdrugs ,Legalization of soft drugs,Zowel inkoop als verkoop van softdrugs door coffeeshops moet legaal worden.,disagree,Jezus Leeft
23, Nederlandstalig hoger onderwijs ,Dutch-language higher education,De overheid moet onderwijs in het Nederlands vaker verplicht stellen op universiteiten en hogescholen.,agree,Jezus Leeft
24, Voltooid leven ,Completed life,"Mensen die hun leven voltooid vinden, moeten hulp kunnen krijgen bij zelfdoding.",disagree,Jezus Leeft
25, Koppeling minimumloon en bijstand ,Minimum wage and welfare linkage,Verhoging van de minimumlonen moet niet langer automatisch leiden tot verhoging van de bijstandsuitkeringen.,agree,Jezus Leeft
26, Sociale huurwoningen ,Social housing,Nieuwbouwwijken moeten voor ten minste 40 procent bestaan uit sociale huurwoningen.,disagree,Jezus Leeft
27, Boerenbedrijven ,Farming businesses,Er moeten geen nieuwe beperkingen komen op de activiteiten van boerenbedrijven.,agree,Jezus Leeft
28, Middenschool ,Middle school,"Er moet een middenschool komen, zodat leerlingen op latere leeftijd de keuze maken tussen vmbo, havo of vwo.",agree,Jezus Leeft
29, Vluchtelingen opnemen ,Accepting refugees,Nederland moet meer vluchtelingen opnemen dan het nu doet.,disagree,Jezus Leeft
30, Mondkapjesplicht ,Face mask mandate,Mensen moeten altijd zelf kunnen kiezen of ze een mondkapje dragen. ,agree,Jezus Leeft
1, Vaccinatiebewijs ,Vaccination certificate,Organisatoren van evenementen moeten bij de toegang een vaccinatiebewijs kunnen vragen.,disagree,Trots op Nederland
2, Defensiebudget ,Defense budget,Nederland moet meer geld uitgeven aan  defensie.,agree,Trots op Nederland
3, Gratis kinderopvang ,Free childcare,Kinderopvang moet voor alle ouders ten minste drie dagen in de week gratis worden.,agree,Trots op Nederland
4, Nederland uit EU ,Netherlands leaving the EU,Nederland moet uit de Europese Unie (EU) stappen.,disagree,Trots op Nederland
5, Rekeningrijden ,Road pricing,In plaats van de belasting op autobezit moet er voor automobilisten een belasting komen per gereden kilometer.,agree,Trots op Nederland
6, Vuurwerk ,Fireworks,Aankomende jaarwisseling moet het weer toegestaan zijn om siervuurwerk af te steken.,agree,Trots op Nederland
7, Vleesbelasting ,Meat tax,Er moet een extra belasting komen op het kopen van vlees.,disagree,Trots op Nederland
8, Publieke omroep ,Public broadcasting,Er moet minder geld naar de publieke omroep.,agree,Trots op Nederland
